Id;splMass;Gonadwt;Idweight;splDate;Cant1;Canthaxanthin;Echi1;Echinenone;Astaxanthin
GO_F14_GL20;13.9;6.94;90.69;08/03/21;0.071228;0.222042;0.004349;0.007510;4.846593
GO_M01_GL10;46.9;25.34;119.27;02/12/19;0.026890;0.111850;0.000632;0.001033;0.836516
GO_M01_GL14;53.1;21.29;98.51;03/07/20;0.003992;0.011559;0.000091;0.000065;0.120435
GO_M01_GL15;36.9;30.6;213.41;29/07/20;0.019644;0.081706;0.002293;0.002012;2.156875
GO_M01_GL16;32.2;17.25;119.56;26/08/20;0.031655;0.155754;0.002096;0.001915;3.095874
GO_M01_GL17;35.6;39.26;135.45;28/09/20;0.013735;0.050847;0.000578;0.000679;0.621055
GO_M01_GL20;43.6;12.65;138.82;08/03/21;0.010460;0.045675;0.000374;0.000483;0.443884
GO_M01_GL21;30.4;2.33;80.66;01/04/21;0.054964;0.193729;0.001639;0.001269;3.620984
GO_M01_GL23;35.8;6.98;95.53;16/07/21;0.048329;0.172450;0.001751;0.001335;2.387367
GO_M02_GL10;31.1;24.18;100.3;02/12/19;0.034058;0.135846;0.000890;0.001202;1.628762
GO_M02_GL13;44;2.87;121.61;22/05/20;0.011262;0.035947;0.000455;0.000689;0.820900
GO_M02_GL14;43.1;6.43;106.37;03/07/20;0.030311;0.133776;0.002219;0.001880;1.711113
GO_M02_GL18;31.4;4.72;98.55;11/01/21;0.043502;0.207158;0.004103;0.005392;2.246485
GO_M02_GL20;46;16.51;110.05;08/03/21;0.017156;0.084396;0.000859;0.000902;1.638304
GO_M02_GL22;47.4;3.5;109.5;28/05/21;0.030543;0.118605;0.002135;0.002185;2.096053
GO_M03_GL10;36.4;26.05;87.28;02/12/19;0.012560;0.065015;0.000374;0.000487;0.698193
GO_M03_GL11;50;33.08;142.85;22/01/20;0.004139;0.013759;0.000106;0.000127;0.164291
GO_M03_GL13;47.8;5.15;93.35;22/05/20;0.004933;0.015210;0.000132;0.000132;0.284974
GO_M03_GL14;27.9;20.24;119.3;03/07/20;0.023179;0.085917;0.002902;0.001822;1.665383
GO_M03_GL15;31.8;39.65;194.15;29/07/20;0.018422;0.124924;0.003417;0.002646;3.094137
GO_M03_GL16;42;26.26;127.23;26/08/20;0.016491;0.085240;0.000799;0.000867;1.038560
GO_M03_GL20;35.5;17.2;111.82;08/03/21;0.017653;0.065720;0.000953;0.001329;0.959860
GO_M03_GL21;33.5;3.16;113.31;01/04/21;0.022702;0.083594;0.001313;0.001786;1.754351
GO_M03_GL22;35.9;8.86;130.93;28/05/21;0.059247;0.197746;0.008180;0.007982;6.927544
GO_M03_GL23;42.1;15.11;129.96;16/07/21;0.029138;0.126595;0.001167;0.001653;2.290793
GO_M04_GL15;31.4;45.55;223.1;29/07/20;0.008733;0.030978;0.000291;0.000375;0.392305
GO_M04_GL16;31.4;16.09;120.39;26/08/20;0.014016;0.073969;0.000539;0.000539;0.467685
GO_M04_GL17;52.3;11.62;91.77;28/09/20;0.008083;0.026252;0.000239;0.000361;0.167609
GO_M04_GL19;30.8;38.82;171.68;08/02/21;0.012318;0.038812;0.000374;0.000345;0.421904
GO_M04_GL23;32;4.47;92.42;16/07/21;0.040937;0.156295;0.001724;0.001849;3.414194
GO_M05_GL11;45.5;15.35;117.02;22/01/20;0.009170;0.036067;0.000146;0.000189;0.228542
GO_M05_GL15;33.3;17.55;201.16;29/07/20;0.022505;0.116335;0.003407;0.002630;3.735515
GO_M05_GL16;36.2;25.1;101.74;26/08/20;0.022762;0.118429;0.000828;0.001618;1.442062
GO_M05_GL18;40.4;8.76;113.22;11/01/21;0.011446;0.048562;0.000632;0.000612;0.740329
GO_M05_GL22;42.1;2.87;126.8;28/05/21;0.006036;0.020322;0.000162;0.000275;0.436025
GO_M06_GL10;42.5;12.42;93.44;02/12/19;0.028353;0.130954;0.001209;0.001180;0.734948
GO_M06_GL14;46.8;12.69;129;03/07/20;0.016542;0.054368;0.000535;0.000809;0.376841
GO_M06_GL16;38.2;17.83;103.56;26/08/20;0.009011;0.029347;0.000188;0.000312;0.250190
GO_M06_GL17;38.2;22.08;73.79;28/09/20;0.009373;0.031832;0.000112;0.000131;0.289534
GO_M06_GL18;38.9;16;110.58;11/01/21;0.025620;0.073321;0.000851;0.000976;1.021108
GO_M06_GL20;32.2;6.63;105.57;08/03/21;0.025625;0.085926;0.001001;0.001032;1.527606
GO_M06_GL22;38.8;4.56;147.42;28/05/21;0.018511;0.065898;0.000546;0.000827;0.802044
GO_M07_GL11;36.5;37.33;178.15;22/01/20;0.010857;0.038850;0.000271;0.000356;0.277866
GO_M07_GL15;36.4;15.49;169;29/07/20;0.008081;0.026699;0.000240;0.000184;0.467470
GO_M07_GL17;43.8;23.71;93.76;28/09/20;0.030697;0.173973;0.001722;0.001944;1.851699
GO_M07_GL20;41.2;14.32;118.79;08/03/21;0.018054;0.112860;0.001650;0.001282;1.403427
GO_M07_GL23;31.1;11.97;105.1;16/07/21;0.008573;0.038645;0.000292;0.000398;0.514865
GO_M08_GL14;34.3;9.14;116.25;03/07/20;0.030231;0.092759;0.002045;0.001650;1.997601
GO_M08_GL18;43.1;7.29;72.12;11/01/21;0.039532;0.226980;0.005984;0.006582;3.478284
GO_M09_GL12;35.2;21.4;112.41;16/03/20;0.012395;0.041045;0.000252;0.000235;0.300862
GO_M09_GL13;43.1;9.5;113.85;22/05/20;0.026684;0.083894;0.000859;0.000870;1.425897
GO_M09_GL17;34.3;26.15;104.83;28/09/20;0.025317;0.118316;0.000849;0.001599;0.725580
GO_M09_GL22;33;8.49;127.01;28/05/21;0.014130;0.054853;0.000640;0.000931;1.342922
GO_M09_GL23;31.8;7.26;83.46;16/07/21;0.004101;0.019943;0.000113;0.000264;0.087971
GO_M10_GL17;28.4;15.29;71.12;28/09/20;0.015056;0.049273;0.000310;0.000405;0.267301
GO_M10_GL18;25;18.71;134.02;11/01/21;0.025921;0.174501;0.003122;0.002968;3.783935
