Id;splMass;StdC23;Gonadwt;Idweight;splDate;C14.0iso;C14:0;C15.0iso;C15.0anteiso;C15.0;C16.0iso;C16.0;C16.1w7;C17.0iso;C17.0anteiso;C17.0;C18.0;C18.1w9;C18.1w7;C18.2w6;C19.0;C18.3w3;C18.4w3;C20.0;C20.1w11;C20.1w9;C20.1w7;C20.2w6;C21.0;C20.4w6;C20.3w6;C20.4w3;C20.5w3;C22.0;C22:1w11;C22.1w9;C23.0;C23.1w9;C22.5w6;C22.6w3;C24.1w9
GO_F05GL21;29.7;40;3.88;99.68;01/04/21;10;55.6;38.9;17.1;13.9;31.1;104.4;132.8;21.5;9.4;16.7;79.5;58.8;80.8;35;14.8;16.3;36;27.1;25.3;29.4;9.9;17.5;15.2;130.7;4.2;8;226.5;39.8;11.9;15.7;36.7;37.4;22.6;64.8;45.2
GO_F05GL23;29.3;40;17.1;128.4;16/07/21;26.9;93.9;87.3;28.6;27.8;60.8;144.2;159.2;45.1;17;22.5;152.9;76.5;153;32;28.6;28.1;31.9;39.1;38.2;49.2;16.1;25.3;19.5;164.1;6.7;8.8;186.4;66.7;17;24;32.6;26.4;16.9;50.8;35.5
GO_F06GL23;29.3;40;19.28;122.44;16/07/21;22.4;111.4;78.4;28.6;28.3;45.9;192.5;205;38.2;15.4;30.9;135.6;72.3;134.8;21.1;27.1;20.7;43.4;48.4;48.4;39.1;13.2;23.5;21;148.9;7.3;11.3;281.4;51.9;20.7;27.8;34.2;45.3;14.3;65.4;42.3
GO_F07GL21;29.1;40;1.77;124.31;01/04/21;3.1;18.5;12.3;5;5.6;10.9;46.9;36.4;9.3;3.7;10;34.3;20;34;12.6;8;6.6;9;13.7;29.2;13.6;4.9;12.6;10.8;99.7;3;2.2;117.7;24.6;6.1;11.5;24.9;34;9.9;25.4;21.6
GO_F07GL22;28;40;16.1;119.39;28/05/21;20.7;87.8;61;26.5;22.1;34.8;149.5;165.9;31.2;12.4;23;96.3;49.8;109.7;17.3;18.4;16.5;39.8;32.6;40.6;28.4;12.6;22.1;16.9;141.8;7.4;8.4;256.9;41.8;16.2;24.2;32.5;40;16.2;46.9;42.1
GO_F08GL17;20;40;25.4;90.81;28/09/20;19.8;80;53.5;20.3;17.7;26;110;109.6;26.6;8.9;18.9;97.2;42.7;88.2;12.9;21.9;13.9;23.4;34.2;31.8;28.7;10;15;13.5;81.5;5.2;7.2;159.1;29.2;13.2;19.5;32.8;26.3;11.6;37.7;31.6
GO_F08GL22;28.1;40;10.33;106.78;28/05/21;21.9;117;67.7;28.5;22.7;36.1;170.9;276.6;28.4;12;21.3;129.3;57.6;131.6;27.5;19.4;21.7;87;35.8;38.7;31.5;14.5;26.9;15.3;164.8;5.7;11.2;347.5;40.5;16.4;20.6;32.4;30.9;15.5;52.1;41.8
GO_F08GL23;28;40;8.7;78.13;16/07/21;16.6;89.7;58.8;19.7;25.8;31.5;190;199.8;34.1;13.1;24.1;125.9;51.9;107.5;17.6;21;21.7;35.2;35.3;41.4;37.1;14.9;20.9;15.7;126.1;6.6;8.5;256.9;33;18.5;25.9;35.3;33.4;12.5;53.3;42.4
GO_F09GL18;20;40;0.78;90.99;11/01/21;6.5;25;22.1;8.8;8.4;13.8;53.7;36.9;12;4.5;9.2;35.5;25.9;41.4;8.6;8.5;6.9;9.6;17.2;31.2;15;5.5;11.2;11.8;106.9;2.4;2.6;119.3;23.4;5.8;11.4;32.1;33.2;11.3;22.1;21.4
GO_F10GL21;29.1;40;1.22;102.08;01/04/21;3.3;22;10.7;4;4.7;9.4;49.9;54.5;8.1;3.3;9.8;50.7;19;31.1;11.8;9.6;6.3;15.5;17.4;31.4;13.3;5.5;12.2;10.5;87.7;3.1;5.3;149.7;24.3;6;12.4;31.7;38.4;8.9;27.4;26.3
GO_F10GL23;24.6;40;3.12;102.41;16/07/21;7.4;30.2;30.2;9.7;11.1;15.9;77;54.4;18.4;6.6;18.2;54.2;30.1;59;9.2;14.7;8.1;9.1;21.1;34.2;23.8;7.1;13.3;14.9;106.7;4.1;3.9;117.7;24.3;8.9;12.3;33.1;39.9;11.7;41.7;18.1
GO_M01GL21;35.1;40;2.33;80.66;01/04/21;NA;5.2;2.2;NA;NA;3.3;29.7;16.1;4.6;NA;11.6;44.8;13;41;3.6;10.3;2.3;5.2;20;29.4;14.4;8.4;14.5;12.7;104.8;3;2.9;155.7;24.5;5.4;9.6;34.2;38.4;12.6;19.5;23.7
GO_M01GL23;27.2;40;6.98;95.53;16/07/21;NA;7.4;5.6;NA;3.2;4.9;43.7;15.8;7.2;2.1;14.3;59;14.2;47.9;6.9;11.8;4.1;3.8;18.7;21.4;15.5;10.6;15.2;9.3;86.1;3.6;3.4;185.6;19;3.8;9;31.6;14.8;10.2;46.1;15.6
GO_M02GL22;39.9;40;3.5;109.5;28/05/21;7.9;39.2;30.7;11.8;10.9;18.4;90.9;64;19.5;7.4;18.2;81.8;31.4;89.8;11.4;15.9;14.4;16.9;43.1;31.8;22.4;12.4;19.6;12.5;140.7;6.1;6.5;220.6;28.7;8.9;14.4;30.2;28.9;14.6;64.8;23.3
GO_M03GL21;35.8;40;3.16;113.31;01/04/21;NA;6.1;4;NA;NA;4.2;17.5;18.4;4.1;NA;7.7;47.8;10;40.4;4;10.8;2.7;5;22.3;26.7;13;7.8;13.6;10.5;92.5;2.7;2;147.8;18.9;4.5;9.6;30;31.8;9.9;19.4;19.6
GO_M03GL22;29.4;40;8.86;130.93;28/05/21;7.4;29;24.4;9.3;7.8;16.5;62.1;63.3;12.8;5;14.6;62.8;21.8;68.3;7.1;12.3;7.6;14.5;24.9;23.9;17.3;10;15.8;9.8;99.1;3.7;4.9;170.8;24.2;8;10.2;29.7;23.2;10.5;46.6;19
GO_M03GL23;27.1;40;15.11;129.96;16/07/21;3;17.5;10.5;3.6;5.5;7.6;50.5;30;8.6;2.9;13.9;58.5;18.2;59.4;5.8;10.9;6;6.5;21.1;19.9;22.2;11.4;14.1;10.5;94.2;3.4;3.1;175.3;22.3;5.1;8.1;28;16.4;10.2;39.9;15
GO_M04GL23;21.8;40;4.47;92.42;16/07/21;2.2;12.9;8.9;2.6;4.2;5.8;47.9;21;7.5;2.5;12.5;41.9;18.5;42.7;8.3;9;5.1;4.2;14.9;17.5;14.3;8.7;10.8;8.6;75.5;2.5;2.5;123.4;16.9;4;6.7;31.1;14.4;8.1;36.4;9.5
GO_M05GL22;24.3;40;2.87;126.8;28/05/21;3.3;15.3;12.5;4.3;4.1;8.9;31.1;42;7.3;2.7;7.6;42.7;11.8;42.1;5.2;8.2;4.4;9.8;16.7;19.9;9.3;7.8;15.4;7.3;81.8;2.4;3.2;132.4;16.5;5.7;7.8;31.9;19.2;8.4;26.7;14.8
GO_M06GL17;28;40;22.08;73.79;28/09/20;NA;3.3;3.3;NA;NA;3.6;35.7;8.3;5.8;2.1;15.8;61.1;13.5;75.4;2.8;12.8;3.3;2.5;32.2;21;22;13.1;14.7;10.4;122.9;3.9;2.6;200.9;17;5.7;8;27.4;23.2;12.7;24.8;16
GO_M06GL18;30.7;40;16;110.58;11/01/21;2.3;9.6;8.9;3.4;4.3;7.4;39.9;18.4;7.9;2.7;15.4;70.3;18.9;70.5;5.8;13.2;4.6;4.8;24.9;23;19.5;10.7;16.8;12.1;120.3;3.4;2.4;193.3;23.7;5.3;9.6;29.6;25.3;12.1;26.8;20
GO_M06GL20;36.9;40;6.63;105.57;08/03/21;NA;7.1;6.5;2.8;3.3;5.8;30.8;15.2;6.4;2.5;14.9;67.8;17.2;74.3;5.2;14.9;4.4;3.9;28.7;28.3;21.5;12.4;19.7;14.8;147.1;3.7;2.7;228.4;24.9;5.8;11.8;31.6;34.4;13.8;25.9;21.9
GO_M06GL22;38.1;40;4.56;147.42;28/05/21;6.1;31.4;20;7.6;7.8;13.2;69.3;79.2;10.7;4.2;12.7;74;21.7;70.3;9.8;11.8;7;22.6;28.1;26.3;17.1;12.9;24.9;9.7;115.8;3.8;5.4;243;23;8;10.9;31.7;24.7;12.1;45.9;20.2
GO_M07GL20;31.8;40;14.32;118.79;08/03/21;NA;3.3;2.6;NA;NA;3.2;28.7;7.8;4.9;2.4;14.6;62;11.4;63.8;2.6;11.3;2.9;3.2;23.8;21.2;17.9;12;16.1;11;115.3;7.2;NA;194.3;18.6;5.2;9.8;24.2;23.7;11.2;24.8;19.8
GO_M07GL23;24.8;40;11.97;105.1;16/07/21;NA;13;7.1;2.6;3.8;6.1;51.6;20.9;6.8;2.4;14.7;58.5;20.4;55.4;10.9;11.6;4.8;4.9;20.2;20.6;24.2;10.7;14.2;10.1;90.7;5.8;4;174.1;21.3;5.1;6.6;33.8;18.1;9.8;32;13.6
GO_M09GL17;23;40;26.15;104.83;28/09/20;NA;4.3;2.1;NA;NA;2;17.4;11;3.3;NA;8.6;63.2;11.1;49.7;3.5;11.9;3.7;3.6;21.4;16.9;14.1;10.5;13.2;7.5;89;3.9;2.9;165.8;12.2;4.3;6.3;30.1;16.7;8.3;22.9;14.6
GO_M09GL22;28.7;40;8.49;127.01;28/05/21;4.6;25.4;14.8;5.4;6.2;10.5;52.2;54.8;8.7;3.4;10.1;67.5;17.8;63.1;7.1;12.2;5.8;13.4;24;20.1;18;10.8;16.9;9.1;92.4;7;4.4;206.9;20.4;6.8;9.3;31.4;17.4;10.7;40.4;14.5
GO_M09GL23;27.5;40;7.26;83.46;16/07/21;2.1;6;7;2.3;3.2;6.7;37.8;14.4;7.7;2.4;12.3;54.2;14.9;61;8.6;11.5;6.9;3;22.2;19.2;15.6;13;17.3;9.5;122.9;3.2;2.3;135.1;31.4;4.8;9.2;32;15.8;11.4;24.1;17.2
