Id,splMass,Gonadwt,Idweight,splDate,Cant1,Canthaxanthin,Echi1,Echinenone,Astaxanthin
GO_F01_GL12,13.6,60.55,118.04,16/03/20,0.0767114670428275,0.292583212466011,0.00892456040331042,0.00739648452834316,1.57482113896409
GO_F01_GL13,12,5.66,109.4,22/05/20,0.0556859644839485,0.182281621996357,0.0028092704359333,0.00323799443820424,0.964944513970475
GO_F01_GL18,13.7,15.52,143.82,11/01/21,0.0790040095601895,0.249294310072189,0.00613686374360946,0.00586510246671854,1.43844897129023
GO_F01_GL19,17.8,61.25,140.24,08/02/21,0.0669291996636447,0.199332848074678,0.00624451340977728,0.00343029908381188,1.13150246749654
GO_F01_GL22,11,8.27,132.07,28/05/21,0.0779682546017981,0.353633719251752,0.0101293737952819,0.00829550174729044,1.59980389209044
GO_F02_GL12,11.1,24.75,104.02,16/03/20,0.081051368327969,0.297860574149501,0.00692178865686376,0.00765970621411532,1.53383935092062
GO_F02_GL15,16,30.51,195.34,29/07/20,0.0372056543400916,0.146374252917655,0.00580469734653687,0.00479352922275968,1.25334715961332
GO_F02_GL16,11,34.72,120.42,26/08/20,0.0479864340697862,0.137052359947023,0.00473852844615255,0.00451083292341535,1.03239582511017
GO_F02_GL17,13.7,39.19,150.85,28/09/20,0.0684733725834961,0.303311423610756,0.0149172235442487,0.00735731893255594,1.32353706065773
GO_F02_GL19,12.3,6.09,104.49,08/02/21,0.0702983610220948,0.255429202735284,0.00403958174155165,0.00869555742731827,1.33292848003568
GO_F02_GL23,12.8,28.99,129.87,16/07/21,0.0610534946837187,0.269890682106532,0.00547363497965166,0.0101751436723186,1.22085339800052
GO_F03_GL12,13,64.24,218.98,16/03/20,0.0859577023641946,0.297462827237573,0.00830544271605859,0.00881053860537375,1.4684297655019
GO_F03_GL17,13.1,29.63,114.9,28/09/20,0.074505798541307,0.249236015295323,0.00844873937781834,0.0083557257332919,1.50720320659818
GO_F03_GL18,15.7,5.91,140.62,11/01/21,0.0732474095178918,0.273040533301848,0.0149787514303312,0.0102014179286596,1.44680931233812
GO_F03_GL19,18.2,61.23,145.39,08/02/21,0.0636341534108683,0.217872709528366,0.00746113662714444,0.00697389390622922,1.34576293764212
GO_F04_GL10,11.3,33.3,148.49,02/12/19,0.0602435418983598,0.189502327141894,0.00419937855973823,0.00582281877327469,1.05577784862225
GO_F04_GL11,12.7,11.74,109.13,22/01/20,0.111596610941248,0.397593734671219,0.0118010146004294,0.0118116749568887,1.79586366815631
GO_F04_GL12,9.2,30.13,105.31,16/03/20,0.071355428184048,0.263471747903966,0.0116255822126103,0.010691120857546,1.3844802976985
GO_F04_GL14,13.9,9.74,94.1,03/07/20,0.0277322364037273,0.0749602895902915,0.00343823338436146,0.00307785198146805,0.664581069475522
GO_F04_GL18,12.7,6.92,127.73,11/01/21,0.0947398614502566,0.335887724793251,0.00529286698203541,0.00960498116981653,1.69742250869673
GO_F04_GL20,14.1,4.4,128.74,08/03/21,0.0972467333198386,0.4455280783785,0.0428675992864196,0.0319790658356861,3.08828803665613
GO_F04_GL21,17.3,2.96,122.4,01/04/21,0.061165762931076,0.200762526106778,0.0110813481085913,0.00924228256797054,0.660008308676484
GO_F04_GL22,17.8,5.99,99.43,28/05/21,0.0544172760322564,0.168330134408827,0.00314887765121534,0.00224756846843993,1.16226420894618
GO_F05_GL10,11,39.8,104.26,02/12/19,0.0691815203130089,0.267706528684741,0.0090093579807368,0.00852319727002764,2.0588635725132
